id,name,group,updown
M389T8_4,Nutriacholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M391T7_4,"3_,7_,12_-Trihydroxy-5_-cholanoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M391T8_3,Octadecylfumarate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M391T8_4,Hyodeoxycholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M391T8_5,Chenodeoxycholate ,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M391T9_2,Deoxycholate ,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M403T9_1,11'-Carboxy-_-chromanol,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M405T8_3,"3_,6_,7_,12_-Tetrahydroxy-5_-cholanoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M407T7_3,7-Ketodeoxycholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M407T8_3,Cholate ,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M407T8_4,_-Muricholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M448T8,Glycodeoxycholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M593T8_1,L-Urobilin,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M615T8_1,Harderoporphyrinogen,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M73T1_2,Propionate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M836T8,PI(16:0/18:1(9Z)),Not Sex-Specific & Opposite Trend,CONV-R Enriched
M874T8,"PI(15:1(9Z)/22:2(13Z,16Z))",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M113T1_6,Uracil,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M117T1_3,Succinate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M139T1_10,trans-Urocanate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M144T1_3,4-Acetamidobutanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M174T1_4,N-Acetyl-L-aspartate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M175T1_10,D-1-Amino-2-pyrrolidinecarboxylate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M190T7,Indole-3-propionate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M260T1_16,Isoleucyl-Glutamine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M288T8_2,C17 Sphinganine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M313T9_2,"12,13-DHOME",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M321T9,15(S)-HETE,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M366T6_2,3-Hydroxydecanoylcarnitine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M405T7_2,9'-Carboxy-_-tocotrienol,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M104T1_4,_-Aminobutyrate (GABA),Not Sex-Specific & Opposite Trend,CONV-R Enriched
M124T1_7,2-Picolinate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M131T5_2,2-Hydroxyisocaproate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M132T1_3,L-Aspartate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M133T1_5,L-Malate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M160T4_8,DL-2-Aminooctanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M177T3_8,Serotonin,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M195T4_6,N'-Nitrosonornicotine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M221T1_8,Ethyl-_-D-glucuronide,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M229T4_7,Isoleucyl-Valine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M233T4_6,Isoleucyl-Threonine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
