"","variable","importance"
"493","X439217",0
"494","X5288905",0
"495","X18618152",0
"496","X11850",0
"497","X439213",0
"498","X77879498",0
"499","X56927739",0
"500","X54166459",0
"501","X122136",0
"502","X123932",0
"503","X22833570",0
"504","X29979373",0
"505","X124202109",0
"506","X187488",0
"507","X3035420",0
"508","X54110629",0
"509","X53477754",0
"510","X11522049",0
"511","X31348",0
"512","X222656",0
"513","X1738118",0
"514","X10917",0
"515","X9750",0
"516","X6037",0
"517","X136032516",0
"518","X777",0
"519","X1050",0
"520","X1054",0
"521","X22833566",0
"522","X69698",0
"523","X53481537",0
"524","X70639",0
"525","X1188",0
"526","X8422",0
"527","X20979920",0
"528","X447989",0
"529","X15110021",0
"530","X22249",0
"531","X6259976",0
"532","X45266632",0
"533","X11469151",0
"534","X21629432",0
"535","X5282957",0
"536","X213591",0
